,Ticker,Date,Metric,Value
1815,AAPL,2024-09-30,EBITDA,134661000000.0
1816,AAPL,2024-09-30,EBIT,123216000000.0
1817,AAPL,2024-09-30,Net Interest Income,
1818,AAPL,2024-09-30,Interest Expense,
1819,AAPL,2024-09-30,Interest Income,
1820,AAPL,2024-09-30,Normalized Income,93736000000.0
1821,AAPL,2024-09-30,Net Income From Continuing And Discontinued Operation,93736000000.0
1822,AAPL,2024-09-30,Total Expenses,267819000000.0
1823,AAPL,2024-09-30,Total Operating Income As Reported,123216000000.0
1824,AAPL,2024-09-30,Diluted Average Shares,
1825,AAPL,2024-09-30,Basic Average Shares,
1826,AAPL,2024-09-30,Diluted EPS,
1827,AAPL,2024-09-30,Basic EPS,
1828,AAPL,2024-09-30,Diluted NI Availto Com Stockholders,93736000000.0
1829,AAPL,2024-09-30,Net Income Common Stockholders,93736000000.0
1830,AAPL,2024-09-30,Net Income,93736000000.0
1831,AAPL,2024-09-30,Net Income Including Noncontrolling Interests,93736000000.0
1832,AAPL,2024-09-30,Net Income Continuous Operations,93736000000.0
1833,AAPL,2024-09-30,Tax Provision,29749000000.0
1834,AAPL,2024-09-30,Pretax Income,123485000000.0
1835,AAPL,2024-09-30,Other Income Expense,269000000.0
1836,AAPL,2024-09-30,Other Non Operating Income Expenses,269000000.0
1837,AAPL,2024-09-30,Net Non Operating Interest Income Expense,
1838,AAPL,2024-09-30,Interest Expense Non Operating,
1839,AAPL,2024-09-30,Interest Income Non Operating,
1840,AAPL,2024-09-30,Operating Income,123216000000.0
1841,AAPL,2024-09-30,Operating Expense,57467000000.0
1842,AAPL,2024-09-30,Research And Development,31370000000.0
1843,AAPL,2024-09-30,Selling General And Administration,26097000000.0
1844,AAPL,2024-09-30,Gross Profit,180683000000.0
1845,AAPL,2024-09-30,Cost Of Revenue,210352000000.0
1846,AAPL,2024-09-30,Total Revenue,391035000000.0
1847,AAPL,2024-09-30,Operating Revenue,391035000000.0
137,ABBV,2023-12-31,Tax Effect Of Unusual Items,-203280000.0
138,ABBV,2023-12-31,Tax Rate For Calcs,0.22
139,ABBV,2023-12-31,Normalized EBITDA,18096000000.0
140,ABBV,2023-12-31,Total Unusual Items,-924000000.0
141,ABBV,2023-12-31,Total Unusual Items Excluding Goodwill,-924000000.0
142,ABBV,2023-12-31,Net Income From Continuing Operation Net Minority Interest,4863000000.0
143,ABBV,2023-12-31,Reconciled Depreciation,8698000000.0
144,ABBV,2023-12-31,Reconciled Cost Of Revenue,20415000000.0
145,ABBV,2023-12-31,EBITDA,17172000000.0
146,ABBV,2023-12-31,EBIT,8474000000.0
147,ABBV,2023-12-31,Net Interest Income,-1684000000.0
148,ABBV,2023-12-31,Interest Expense,2224000000.0
149,ABBV,2023-12-31,Interest Income,540000000.0
150,ABBV,2023-12-31,Normalized Income,5583720000.0
151,ABBV,2023-12-31,Net Income From Continuing And Discontinued Operation,4863000000.0
152,ABBV,2023-12-31,Total Expenses,40783000000.0
153,ABBV,2023-12-31,Total Operating Income As Reported,12757000000.0
154,ABBV,2023-12-31,Diluted Average Shares,1773000000.0
155,ABBV,2023-12-31,Basic Average Shares,1765940733.0
156,ABBV,2023-12-31,Diluted EPS,2.72
157,ABBV,2023-12-31,Basic EPS,2.753773
158,ABBV,2023-12-31,Diluted NI Availto Com Stockholders,4820000000.0
159,ABBV,2023-12-31,Net Income Common Stockholders,4820000000.0
160,ABBV,2023-12-31,Otherunder Preferred Stock Dividend,43000000.0
161,ABBV,2023-12-31,Net Income,4863000000.0
162,ABBV,2023-12-31,Minority Interests,-10000000.0
163,ABBV,2023-12-31,Net Income Including Noncontrolling Interests,4873000000.0
164,ABBV,2023-12-31,Net Income Continuous Operations,4873000000.0
165,ABBV,2023-12-31,Tax Provision,1377000000.0
166,ABBV,2023-12-31,Pretax Income,6250000000.0
167,ABBV,2023-12-31,Other Income Expense,-5601000000.0
168,ABBV,2023-12-31,Other Non Operating Income Expenses,-4677000000.0
169,ABBV,2023-12-31,Special Income Charges,-778000000.0
170,ABBV,2023-12-31,Other Special Charges,778000000.0
171,ABBV,2023-12-31,Gain On Sale Of Security,-146000000.0
172,ABBV,2023-12-31,Net Non Operating Interest Income Expense,-1684000000.0
173,ABBV,2023-12-31,Interest Expense Non Operating,2224000000.0
174,ABBV,2023-12-31,Interest Income Non Operating,540000000.0
175,ABBV,2023-12-31,Operating Income,13535000000.0
176,ABBV,2023-12-31,Operating Expense,20368000000.0
177,ABBV,2023-12-31,Other Operating Expenses,-179000000.0
178,ABBV,2023-12-31,Research And Development,7675000000.0
179,ABBV,2023-12-31,Selling General And Administration,12872000000.0
180,ABBV,2023-12-31,Gross Profit,33903000000.0
181,ABBV,2023-12-31,Cost Of Revenue,20415000000.0
182,ABBV,2023-12-31,Total Revenue,54318000000.0
183,ABBV,2023-12-31,Operating Revenue,54318000000.0
504,ABNB,2023-12-31,Tax Effect Of Unusual Items,0.0
505,ABNB,2023-12-31,Tax Rate For Calcs,0.21
506,ABNB,2023-12-31,Normalized EBITDA,2229000000.0
507,ABNB,2023-12-31,Total Unusual Items,0.0
508,ABNB,2023-12-31,Total Unusual Items Excluding Goodwill,0.0
509,ABNB,2023-12-31,Net Income From Continuing Operation Net Minority Interest,4792000000.0
510,ABNB,2023-12-31,Reconciled Depreciation,44000000.0
511,ABNB,2023-12-31,Reconciled Cost Of Revenue,1703000000.0
512,ABNB,2023-12-31,EBITDA,2229000000.0
513,ABNB,2023-12-31,EBIT,2185000000.0
514,ABNB,2023-12-31,Net Interest Income,638000000.0
515,ABNB,2023-12-31,Interest Expense,83000000.0
516,ABNB,2023-12-31,Interest Income,721000000.0
517,ABNB,2023-12-31,Normalized Income,4792000000.0
518,ABNB,2023-12-31,Net Income From Continuing And Discontinued Operation,4792000000.0
519,ABNB,2023-12-31,Total Expenses,8399000000.0
520,ABNB,2023-12-31,Total Operating Income As Reported,1518000000.0
521,ABNB,2023-12-31,Diluted Average Shares,662000000.0
522,ABNB,2023-12-31,Basic Average Shares,637000000.0
523,ABNB,2023-12-31,Diluted EPS,7.24
524,ABNB,2023-12-31,Basic EPS,7.52
525,ABNB,2023-12-31,Diluted NI Availto Com Stockholders,4792000000.0
526,ABNB,2023-12-31,Net Income Common Stockholders,4792000000.0
527,ABNB,2023-12-31,Net Income,4792000000.0
528,ABNB,2023-12-31,Net Income Including Noncontrolling Interests,4792000000.0
529,ABNB,2023-12-31,Net Income Continuous Operations,4792000000.0
530,ABNB,2023-12-31,Tax Provision,-2690000000.0
531,ABNB,2023-12-31,Pretax Income,2102000000.0
532,ABNB,2023-12-31,Other Income Expense,-54000000.0
533,ABNB,2023-12-31,Other Non Operating Income Expenses,-54000000.0
534,ABNB,2023-12-31,Special Income Charges,0.0
535,ABNB,2023-12-31,Restructuring And Mergern Acquisition,0.0
536,ABNB,2023-12-31,Net Non Operating Interest Income Expense,638000000.0
537,ABNB,2023-12-31,Interest Expense Non Operating,83000000.0
538,ABNB,2023-12-31,Interest Income Non Operating,721000000.0
539,ABNB,2023-12-31,Operating Income,1518000000.0
540,ABNB,2023-12-31,Operating Expense,6696000000.0
541,ABNB,2023-12-31,Other Operating Expenses,1186000000.0
542,ABNB,2023-12-31,Research And Development,1722000000.0
543,ABNB,2023-12-31,Selling General And Administration,3788000000.0
544,ABNB,2023-12-31,Selling And Marketing Expense,1763000000.0
545,ABNB,2023-12-31,General And Administrative Expense,2025000000.0
546,ABNB,2023-12-31,Other Gand A,2025000000.0
547,ABNB,2023-12-31,Gross Profit,8214000000.0
548,ABNB,2023-12-31,Cost Of Revenue,1703000000.0
549,ABNB,2023-12-31,Total Revenue,9917000000.0
550,ABNB,2023-12-31,Operating Revenue,9917000000.0
88,ABT,2023-12-31,Tax Effect Of Unusual Items,-5781000.0
89,ABT,2023-12-31,Tax Rate For Calcs,0.141
90,ABT,2023-12-31,Normalized EBITDA,10585000000.0
91,ABT,2023-12-31,Total Unusual Items,-41000000.0
92,ABT,2023-12-31,Total Unusual Items Excluding Goodwill,-41000000.0
93,ABT,2023-12-31,Net Income From Continuing Operation Net Minority Interest,5723000000.0
94,ABT,2023-12-31,Reconciled Depreciation,3243000000.0
95,ABT,2023-12-31,Reconciled Cost Of Revenue,16698000000.0
96,ABT,2023-12-31,EBITDA,10544000000.0
97,ABT,2023-12-31,EBIT,7301000000.0
98,ABT,2023-12-31,Net Interest Income,-252000000.0
99,ABT,2023-12-31,Interest Expense,637000000.0
100,ABT,2023-12-31,Interest Income,385000000.0
101,ABT,2023-12-31,Normalized Income,5758219000.0
102,ABT,2023-12-31,Net Income From Continuing And Discontinued Operation,5723000000.0
103,ABT,2023-12-31,Total Expenses,33631000000.0
104,ABT,2023-12-31,Total Operating Income As Reported,6478000000.0
105,ABT,2023-12-31,Diluted Average Shares,1749000000.0
106,ABT,2023-12-31,Basic Average Shares,1734076358.0
107,ABT,2023-12-31,Diluted EPS,3.26
108,ABT,2023-12-31,Basic EPS,3.300316
109,ABT,2023-12-31,Diluted NI Availto Com Stockholders,5723000000.0
110,ABT,2023-12-31,Net Income Common Stockholders,5723000000.0
111,ABT,2023-12-31,Net Income,5723000000.0
112,ABT,2023-12-31,Net Income Including Noncontrolling Interests,5723000000.0
113,ABT,2023-12-31,Net Income Discontinuous Operations,
114,ABT,2023-12-31,Net Income Continuous Operations,5723000000.0
115,ABT,2023-12-31,Tax Provision,941000000.0
116,ABT,2023-12-31,Pretax Income,6664000000.0
117,ABT,2023-12-31,Other Income Expense,438000000.0
118,ABT,2023-12-31,Other Non Operating Income Expenses,479000000.0
119,ABT,2023-12-31,Special Income Charges,
120,ABT,2023-12-31,Other Special Charges,
121,ABT,2023-12-31,Gain On Sale Of Security,-41000000.0
122,ABT,2023-12-31,Net Non Operating Interest Income Expense,-252000000.0
123,ABT,2023-12-31,Interest Expense Non Operating,637000000.0
124,ABT,2023-12-31,Interest Income Non Operating,385000000.0
125,ABT,2023-12-31,Operating Income,6478000000.0
126,ABT,2023-12-31,Operating Expense,15656000000.0
127,ABT,2023-12-31,Depreciation Amortization Depletion Income Statement,1966000000.0
128,ABT,2023-12-31,Depreciation And Amortization In Income Statement,1966000000.0
129,ABT,2023-12-31,Amortization,1966000000.0
130,ABT,2023-12-31,Amortization Of Intangibles Income Statement,1966000000.0
131,ABT,2023-12-31,Research And Development,2741000000.0
132,ABT,2023-12-31,Selling General And Administration,10949000000.0
133,ABT,2023-12-31,Gross Profit,22134000000.0
134,ABT,2023-12-31,Cost Of Revenue,17975000000.0
135,ABT,2023-12-31,Total Revenue,40109000000.0
136,ABT,2023-12-31,Operating Revenue,40109000000.0
1949,ACGL,2023-12-31,Tax Effect Of Unusual Items,0.0
1950,ACGL,2023-12-31,Tax Rate For Calcs,0.21
1951,ACGL,2023-12-31,Net Income From Continuing Operation Net Minority Interest,4443000000.0
1952,ACGL,2023-12-31,Reconciled Depreciation,95000000.0
1953,ACGL,2023-12-31,EBIT,3518000000.0
1954,ACGL,2023-12-31,Net Interest Income,-133000000.0
1955,ACGL,2023-12-31,Interest Expense,133000000.0
1956,ACGL,2023-12-31,Normalized Income,4443000000.0
1957,ACGL,2023-12-31,Net Income From Continuing And Discontinued Operation,4443000000.0
1958,ACGL,2023-12-31,Total Expenses,9909000000.0
1959,ACGL,2023-12-31,Diluted Average Shares,378800000.0
1960,ACGL,2023-12-31,Basic Average Shares,368700000.0
1961,ACGL,2023-12-31,Diluted EPS,11.62
1962,ACGL,2023-12-31,Basic EPS,11.94
1963,ACGL,2023-12-31,Diluted NI Availto Com Stockholders,4403000000.0
1964,ACGL,2023-12-31,Net Income Common Stockholders,4403000000.0
1965,ACGL,2023-12-31,Otherunder Preferred Stock Dividend,
1966,ACGL,2023-12-31,Preferred Stock Dividends,40000000.0
1967,ACGL,2023-12-31,Net Income,4443000000.0
1968,ACGL,2023-12-31,Minority Interests,1000000.0
1969,ACGL,2023-12-31,Net Income Including Noncontrolling Interests,4442000000.0
1970,ACGL,2023-12-31,Net Income Continuous Operations,4442000000.0
1971,ACGL,2023-12-31,Earnings From Equity Interest Net Of Tax,184000000.0
1972,ACGL,2023-12-31,Tax Provision,-873000000.0
1973,ACGL,2023-12-31,Pretax Income,3385000000.0
1974,ACGL,2023-12-31,Other Income Expense,58000000.0
1975,ACGL,2023-12-31,Net Non Operating Interest Income Expense,-133000000.0
1976,ACGL,2023-12-31,Interest Expense Non Operating,133000000.0
1977,ACGL,2023-12-31,Other Operating Expenses,1401000000.0
1978,ACGL,2023-12-31,Depreciation And Amortization In Income Statement,95000000.0
1979,ACGL,2023-12-31,Amortization,95000000.0
1980,ACGL,2023-12-31,Selling General And Administration,102000000.0
1981,ACGL,2023-12-31,General And Administrative Expense,102000000.0
1982,ACGL,2023-12-31,Other Gand A,102000000.0
1983,ACGL,2023-12-31,Total Revenue,13294000000.0
1984,ACGL,2023-12-31,Operating Revenue,13294000000.0
1985,ACGL,2023-12-31,Loss Adjustment Expense,6246000000.0
1986,ACGL,2023-12-31,Net Policyholder Benefits And Claims,6246000000.0
1987,ACGL,2023-12-31,Policyholder Benefits Gross,8714000000.0
1988,ACGL,2023-12-31,Policyholder Benefits Ceded,2468000000.0
184,ACN,2024-08-31,Tax Effect Of Unusual Items,0.0
185,ACN,2024-08-31,Tax Rate For Calcs,0.235
186,ACN,2024-08-31,Normalized EBITDA,11188334000.0
187,ACN,2024-08-31,Total Unusual Items,0.0
188,ACN,2024-08-31,Total Unusual Items Excluding Goodwill,0.0
189,ACN,2024-08-31,Net Income From Continuing Operation Net Minority Interest,7264787000.0
190,ACN,2024-08-31,Reconciled Depreciation,1430042000.0
191,ACN,2024-08-31,Reconciled Cost Of Revenue,43734147000.0
192,ACN,2024-08-31,EBITDA,11188334000.0
193,ACN,2024-08-31,EBIT,9758292000.0
194,ACN,2024-08-31,Net Interest Income,213287000.0
195,ACN,2024-08-31,Interest Expense,58969000.0
196,ACN,2024-08-31,Interest Income,272256000.0
197,ACN,2024-08-31,Normalized Income,7264787000.0
198,ACN,2024-08-31,Net Income From Continuing And Discontinued Operation,7264787000.0
199,ACN,2024-08-31,Total Expenses,55300617000.0
200,ACN,2024-08-31,Total Operating Income As Reported,9595847000.0
201,ACN,2024-08-31,Diluted Average Shares,635940044.0
202,ACN,2024-08-31,Basic Average Shares,627852613.0
203,ACN,2024-08-31,Diluted EPS,11.44
204,ACN,2024-08-31,Basic EPS,11.57
205,ACN,2024-08-31,Diluted NI Availto Com Stockholders,7271985000.0
206,ACN,2024-08-31,Average Dilution Earnings,7198000.0
207,ACN,2024-08-31,Net Income Common Stockholders,7264787000.0
208,ACN,2024-08-31,Net Income,7264787000.0
209,ACN,2024-08-31,Minority Interests,-154410000.0
210,ACN,2024-08-31,Net Income Including Noncontrolling Interests,7419197000.0
211,ACN,2024-08-31,Net Income Continuous Operations,7419197000.0
212,ACN,2024-08-31,Tax Provision,2280126000.0
213,ACN,2024-08-31,Pretax Income,9699323000.0
214,ACN,2024-08-31,Other Income Expense,-109811000.0
215,ACN,2024-08-31,Other Non Operating Income Expenses,-109811000.0
216,ACN,2024-08-31,Special Income Charges,0.0
217,ACN,2024-08-31,Gain On Sale Of Business,0.0
218,ACN,2024-08-31,Net Non Operating Interest Income Expense,213287000.0
219,ACN,2024-08-31,Interest Expense Non Operating,58969000.0
220,ACN,2024-08-31,Interest Income Non Operating,272256000.0
221,ACN,2024-08-31,Operating Income,9595847000.0
222,ACN,2024-08-31,Operating Expense,11566470000.0
223,ACN,2024-08-31,Other Operating Expenses,438440000.0
224,ACN,2024-08-31,Selling General And Administration,11128030000.0
225,ACN,2024-08-31,Selling And Marketing Expense,6846714000.0
226,ACN,2024-08-31,General And Administrative Expense,4281316000.0
227,ACN,2024-08-31,Other Gand A,4281316000.0
228,ACN,2024-08-31,Gross Profit,21162317000.0
229,ACN,2024-08-31,Cost Of Revenue,43734147000.0
230,ACN,2024-08-31,Total Revenue,64896464000.0
231,ACN,2024-08-31,Operating Revenue,64896464000.0
232,ADBE,2023-11-30,Tax Effect Of Unusual Items,-1600000.0
233,ADBE,2023-11-30,Tax Rate For Calcs,0.2
234,ADBE,2023-11-30,Normalized EBITDA,7792000000.0
235,ADBE,2023-11-30,Total Unusual Items,-8000000.0
236,ADBE,2023-11-30,Total Unusual Items Excluding Goodwill,-8000000.0
237,ADBE,2023-11-30,Net Income From Continuing Operation Net Minority Interest,5428000000.0
238,ADBE,2023-11-30,Reconciled Depreciation,872000000.0
239,ADBE,2023-11-30,Reconciled Cost Of Revenue,1650000000.0
240,ADBE,2023-11-30,EBITDA,7784000000.0
241,ADBE,2023-11-30,EBIT,6912000000.0
242,ADBE,2023-11-30,Net Interest Income,156000000.0
243,ADBE,2023-11-30,Interest Expense,113000000.0
244,ADBE,2023-11-30,Interest Income,269000000.0
245,ADBE,2023-11-30,Normalized Income,5434400000.0
246,ADBE,2023-11-30,Net Income From Continuing And Discontinued Operation,5428000000.0
247,ADBE,2023-11-30,Total Expenses,12759000000.0
248,ADBE,2023-11-30,Total Operating Income As Reported,6650000000.0
249,ADBE,2023-11-30,Diluted Average Shares,459000000.0
250,ADBE,2023-11-30,Basic Average Shares,457000000.0
251,ADBE,2023-11-30,Diluted EPS,11.82
252,ADBE,2023-11-30,Basic EPS,11.87
253,ADBE,2023-11-30,Diluted NI Availto Com Stockholders,5428000000.0
254,ADBE,2023-11-30,Net Income Common Stockholders,5428000000.0
255,ADBE,2023-11-30,Net Income,5428000000.0
256,ADBE,2023-11-30,Net Income Including Noncontrolling Interests,5428000000.0
257,ADBE,2023-11-30,Net Income Continuous Operations,5428000000.0
258,ADBE,2023-11-30,Tax Provision,1371000000.0
259,ADBE,2023-11-30,Pretax Income,6799000000.0
260,ADBE,2023-11-30,Other Income Expense,-7000000.0
261,ADBE,2023-11-30,Other Non Operating Income Expenses,1000000.0
262,ADBE,2023-11-30,Gain On Sale Of Security,-8000000.0
263,ADBE,2023-11-30,Net Non Operating Interest Income Expense,156000000.0
264,ADBE,2023-11-30,Interest Expense Non Operating,113000000.0
265,ADBE,2023-11-30,Interest Income Non Operating,269000000.0
266,ADBE,2023-11-30,Operating Income,6650000000.0
267,ADBE,2023-11-30,Operating Expense,10405000000.0
268,ADBE,2023-11-30,Depreciation Amortization Depletion Income Statement,168000000.0
269,ADBE,2023-11-30,Depreciation And Amortization In Income Statement,168000000.0
270,ADBE,2023-11-30,Amortization,168000000.0
271,ADBE,2023-11-30,Amortization Of Intangibles Income Statement,168000000.0
272,ADBE,2023-11-30,Research And Development,3473000000.0
273,ADBE,2023-11-30,Selling General And Administration,6764000000.0
274,ADBE,2023-11-30,Selling And Marketing Expense,5351000000.0
275,ADBE,2023-11-30,General And Administrative Expense,1413000000.0
276,ADBE,2023-11-30,Other Gand A,1413000000.0
277,ADBE,2023-11-30,Gross Profit,17055000000.0
278,ADBE,2023-11-30,Cost Of Revenue,2354000000.0
279,ADBE,2023-11-30,Total Revenue,19409000000.0
280,ADBE,2023-11-30,Operating Revenue,19409000000.0
1600,ADI,2023-10-31,Tax Effect Of Unusual Items,-13017510.0
1601,ADI,2023-10-31,Tax Rate For Calcs,0.081
1602,ADI,2023-10-31,Normalized EBITDA,6326457000.0
1603,ADI,2023-10-31,Total Unusual Items,-160710000.0
1604,ADI,2023-10-31,Total Unusual Items Excluding Goodwill,-160710000.0
1605,ADI,2023-10-31,Net Income From Continuing Operation Net Minority Interest,3314579000.0
1606,ADI,2023-10-31,Reconciled Depreciation,2293103000.0
1607,ADI,2023-10-31,Reconciled Cost Of Revenue,3094836000.0
1608,ADI,2023-10-31,EBITDA,6165747000.0
1609,ADI,2023-10-31,EBIT,3872644000.0
1610,ADI,2023-10-31,Net Interest Income,-223354000.0
1611,ADI,2023-10-31,Interest Expense,264641000.0
1612,ADI,2023-10-31,Interest Income,41287000.0
1613,ADI,2023-10-31,Normalized Income,3462271490.0
1614,ADI,2023-10-31,Net Income From Continuing And Discontinued Operation,3314579000.0
1615,ADI,2023-10-31,Total Expenses,8321717000.0
1616,ADI,2023-10-31,Total Operating Income As Reported,3823112000.0
1617,ADI,2023-10-31,Diluted Average Shares,505959000.0
1618,ADI,2023-10-31,Basic Average Shares,502232000.0
1619,ADI,2023-10-31,Diluted EPS,6.55
1620,ADI,2023-10-31,Basic EPS,6.6
1621,ADI,2023-10-31,Diluted NI Availto Com Stockholders,3314579000.0
1622,ADI,2023-10-31,Net Income Common Stockholders,3314579000.0
1623,ADI,2023-10-31,Otherunder Preferred Stock Dividend,
1624,ADI,2023-10-31,Net Income,3314579000.0
1625,ADI,2023-10-31,Net Income Including Noncontrolling Interests,3314579000.0
1626,ADI,2023-10-31,Net Income Continuous Operations,3314579000.0
1627,ADI,2023-10-31,Tax Provision,293424000.0
1628,ADI,2023-10-31,Pretax Income,3608003000.0
1629,ADI,2023-10-31,Other Income Expense,-152465000.0
1630,ADI,2023-10-31,Other Non Operating Income Expenses,8245000.0
1631,ADI,2023-10-31,Special Income Charges,-160710000.0
1632,ADI,2023-10-31,Other Special Charges,160710000.0
1633,ADI,2023-10-31,Restructuring And Mergern Acquisition,160710000.0
1634,ADI,2023-10-31,Net Non Operating Interest Income Expense,-223354000.0
1635,ADI,2023-10-31,Interest Expense Non Operating,264641000.0
1636,ADI,2023-10-31,Interest Income Non Operating,41287000.0
1637,ADI,2023-10-31,Operating Income,3983822000.0
1638,ADI,2023-10-31,Operating Expense,3893396000.0
1639,ADI,2023-10-31,Depreciation Amortization Depletion Income Statement,959618000.0
1640,ADI,2023-10-31,Depreciation And Amortization In Income Statement,959618000.0
1641,ADI,2023-10-31,Amortization,959618000.0
1642,ADI,2023-10-31,Amortization Of Intangibles Income Statement,959618000.0
1643,ADI,2023-10-31,Research And Development,1660194000.0
1644,ADI,2023-10-31,Selling General And Administration,1273584000.0
1645,ADI,2023-10-31,Gross Profit,7877218000.0
1646,ADI,2023-10-31,Cost Of Revenue,4428321000.0
1647,ADI,2023-10-31,Total Revenue,12305539000.0
1648,ADI,2023-10-31,Operating Revenue,12305539000.0
1989,ADM,2023-12-31,Tax Effect Of Unusual Items,-58672000.0
1990,ADM,2023-12-31,Tax Rate For Calcs,0.193
1991,ADM,2023-12-31,Normalized EBITDA,6304000000.0
1992,ADM,2023-12-31,Total Unusual Items,-304000000.0
1993,ADM,2023-12-31,Total Unusual Items Excluding Goodwill,-304000000.0
1994,ADM,2023-12-31,Net Income From Continuing Operation Net Minority Interest,3483000000.0
1995,ADM,2023-12-31,Reconciled Depreciation,1059000000.0
1996,ADM,2023-12-31,Reconciled Cost Of Revenue,86422000000.0
1997,ADM,2023-12-31,EBITDA,6000000000.0
1998,ADM,2023-12-31,EBIT,4941000000.0
1999,ADM,2023-12-31,Net Interest Income,-148000000.0
2000,ADM,2023-12-31,Interest Expense,647000000.0
2001,ADM,2023-12-31,Interest Income,499000000.0
2002,ADM,2023-12-31,Normalized Income,3728328000.0
2003,ADM,2023-12-31,Net Income From Continuing And Discontinued Operation,3483000000.0
2004,ADM,2023-12-31,Total Expenses,89878000000.0
2005,ADM,2023-12-31,Diluted Average Shares,542000000.0
2006,ADM,2023-12-31,Basic Average Shares,541000000.0
2007,ADM,2023-12-31,Diluted EPS,6.43
2008,ADM,2023-12-31,Basic EPS,6.44
2009,ADM,2023-12-31,Diluted NI Availto Com Stockholders,3483000000.0
2010,ADM,2023-12-31,Net Income Common Stockholders,3483000000.0
2011,ADM,2023-12-31,Net Income,3483000000.0
2012,ADM,2023-12-31,Minority Interests,17000000.0
2013,ADM,2023-12-31,Net Income Including Noncontrolling Interests,3466000000.0
2014,ADM,2023-12-31,Net Income Continuous Operations,3466000000.0
2015,ADM,2023-12-31,Tax Provision,828000000.0
2016,ADM,2023-12-31,Pretax Income,4294000000.0
2017,ADM,2023-12-31,Other Income Expense,385000000.0
2018,ADM,2023-12-31,Other Non Operating Income Expenses,138000000.0
2019,ADM,2023-12-31,Special Income Charges,-304000000.0
2020,ADM,2023-12-31,Gain On Sale Of Ppe,38000000.0
2021,ADM,2023-12-31,Other Special Charges,
2022,ADM,2023-12-31,Write Off,
2023,ADM,2023-12-31,Impairment Of Capital Assets,309000000.0
2024,ADM,2023-12-31,Restructuring And Mergern Acquisition,33000000.0
2025,ADM,2023-12-31,Earnings From Equity Interest,551000000.0
2026,ADM,2023-12-31,Gain On Sale Of Security,
2027,ADM,2023-12-31,Net Non Operating Interest Income Expense,-148000000.0
2028,ADM,2023-12-31,Interest Expense Non Operating,647000000.0
2029,ADM,2023-12-31,Interest Income Non Operating,499000000.0
2030,ADM,2023-12-31,Operating Income,4057000000.0
2031,ADM,2023-12-31,Operating Expense,3456000000.0
2032,ADM,2023-12-31,Selling General And Administration,3456000000.0
2033,ADM,2023-12-31,Gross Profit,7513000000.0
2034,ADM,2023-12-31,Cost Of Revenue,86422000000.0
2035,ADM,2023-12-31,Total Revenue,93935000000.0
2036,ADM,2023-12-31,Operating Revenue,93935000000.0
2319,ADP,2024-06-30,Tax Effect Of Unusual Items,2576000.0
2320,ADP,2024-06-30,Tax Rate For Calcs,0.23
2321,ADP,2024-06-30,Normalized EBITDA,5784400000.0
