fiftyTwoWeekHigh,201.9,84.53,98.97,47.81,159.64,139.77,97.87,45.58,238.14,91.48,82.5
fiftyDayAverage,192.1026,82.2676,89.334,45.2282,154.1638,132.3258,93.7924,43.8178,222.0646,88.1908,78.2332
twoHundredDayAverage,182.4927,77.41555,89.7919,41.9505,146.95004,124.21245,89.9169,39.94295,212.95924,83.17275,69.63575
trailingAnnualDividendRate,1.17,1.73,2.16,0.58,1.81,1.24,1.39,,1.103,,1.95
trailingAnnualDividendYield,0.0059342664,0.021094987,0.023925567,0.012301166,0.011978029,0.009044493,0.014480676,,0.0047594393,,0.023973446
navPrice,197.13812,82.01115,90.29775,47.15883,151.09714,137.12167,95.96733,43.87579,231.81783,91.00807,81.32164
currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
category,Consumer Cyclical,Consumer Defensive,Equity Energy,Financial,Health,Industrials,Natural Resources,Real Estate,Technology,Communications,Utilities
ytdReturn,0.1096499,0.1615562,0.102915294,0.26819268,0.1205099,0.21448429,0.1365361,0.1219262,0.2103376,0.2628593,0.3140096
beta3Year,1.29,0.58,0.72,1.02,0.67,1.09,1.17,1.19,1.22,1.1,0.74
fundFamily,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors,SPDR State Street Global Advisors
fundInceptionDate,913766400,913766400,913766400,913766400,913766400,913766400,913766400,1444176000,913766400,1529280000,913766400
legalType,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund,Exchange Traded Fund
threeYearAverageReturn,0.016041301,0.0755128,0.2040517,0.0705547,0.0634837,0.1114097,0.0636306,0.0062515996,0.1449064,0.0524183,0.0989198
fiveYearAverageReturn,0.110847995,0.089613505,0.1459982,0.1288125,0.123825,0.13817911,0.1324195,0.053446498,0.24658449,0.1369621,0.0818678
exchange,PCX,PCX,PCX,PCX,PCX,PCX,PCX,PCX,PCX,PCX,PCX
quoteType,ETF,ETF,ETF,ETF,ETF,ETF,ETF,ETF,ETF,ETF,ETF
symbol,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLC,XLU
underlyingSymbol,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLC,XLU
shortName,SPDR Select Sector Fund - Consu,SPDR Select Sector Fund - Consu,SPDR Select Sector Fund - Energ,SPDR Select Sector Fund - Finan,SPDR Select Sector Fund - Healt,SPDR Select Sector Fund - Indus,Materials Select Sector SPDR,Real Estate Select Sector SPDR ,SPDR Select Sector Fund - Techn,The Communication Services Sele,SPDR Select Sector Fund - Utili
longName,The Consumer Discretionary Select Sector SPDR Fund,The Consumer Staples Select Sector SPDR Fund,The Energy Select Sector SPDR Fund,The Financial Select Sector SPDR Fund,The Health Care Select Sector SPDR Fund,The Industrial Select Sector SPDR Fund,The Materials Select Sector SPDR Fund,The Real Estate Select Sector SPDR Fund,The Technology Select Sector SPDR Fund,The Communication Services Select Sector SPDR ETF Fund,The Utilities Select Sector SPDR Fund
firstTradeDateEpochUtc,914337000,914337000,914337000,914337000,914337000,914337000,914337000,1444311000,914337000,1529415000,914337000
timeZoneFullName,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York,America/New_York
timeZoneShortName,EDT,EDT,EDT,EDT,EDT,EDT,EDT,EDT,EDT,EDT,EDT
uuid,28a08817-083c-3148-9471-debb4b8d7ed7,6ee71b7d-617f-3cc4-9dab-bfaa73990257,352d3b13-85c9-3cf9-9325-626eb84dbe4f,8c79bf33-80b0-3f96-8327-6dc8d8f35dd0,72ee34b0-f83a-34a3-bba0-c460262a0e63,5a267d66-00d0-393d-95ad-4ca802a0d6fd,89216834-aae8-3891-8bd6-dbad9087f655,d94d77da-54e6-3e98-b9a1-7672ab91cc03,831b3a60-ccb6-34f6-850a-b0a55559f044,1d7be06a-80f7-3222-9822-4dd60bcf1972,f6d3d826-2d81-3b87-92ab-ee5343f2460e
messageBoardId,finmb_8795473,finmb_2668776,finmb_8795479,finmb_8795483,finmb_8795490,finmb_8795505,finmb_8795509,finmb_308648931,finmb_8795639,finmb_557642090,finmb_8795452
gmtOffSetMilliseconds,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000,-14400000
trailingPegRatio,,,,,,,,,,,
